Resolution	1 Hz			
Span	1600 Hz			
Sample frequency	4096 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-2048 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	2049			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	11.24 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:2:+Z			
Reference point direction sign	+			
Reference point direction absolute	Z			
Reference point direction	+Z			
Reference point id node	2			
Reference point id component	Point			
Reference point id	Point:2			
Socket ID	2013192041:P2			
Module serial number	2013192041			
Module ID	M1			
Position ID	P2			
HW Range	0.316 V			
User Range	0.316 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:6:+Z			
Point direction sign	+			
Point direction absolute	Z			
Point direction	+Z			
Point id node	6			
Point id component	Point			
Point id	Point:6			
Overload	0			
Outer run slope	Time Tracking			
Original run	Run 5			
Original section	Random_excitation2			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	30			
Reference window type	Hanning			
Reference window correction mode	amplitude			
Window type	Hanning			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 20:54:45			
Created	Tue Feb 23 2021 20:54:45			
          0.000000000e+00	          1.525527113e-01	          0.000000000e+00		
          1.000000000e+00	         -5.901489208e-02	         -1.077353111e-01		
          2.000000000e+00	         -5.859792426e-02	         -3.091403397e-02		
          3.000000000e+00	         -2.582458993e-02	          1.863120523e-02		
          4.000000000e+00	          1.415948933e-02	          2.392975769e-02		
          5.000000000e+00	          2.626748946e-02	          6.073600419e-03		
          6.000000000e+00	          1.403328763e-02	          1.484125052e-02		
          7.000000000e+00	         -3.364227762e-03	          2.335978731e-02		
          8.000000000e+00	         -1.053787193e-02	         -3.063133448e-03		
          9.000000000e+00	          6.354703775e-04	         -4.979387730e-03		
          1.000000000e+01	          3.614652028e-02	          1.420303503e-02		
          1.100000000e+01	          2.552850711e-02	         -2.492441949e-02		
          1.200000000e+01	          3.320100851e-02	         -1.460549927e-02		
          1.300000000e+01	          2.960830408e-02	          1.302676749e-03		
          1.400000000e+01	          3.989872616e-02	         -5.012492980e-03		
          1.500000000e+01	          4.463402136e-02	         -1.989782331e-02		
          1.600000000e+01	          6.609593591e-02	         -2.610011399e-02		
          1.700000000e+01	          7.568009949e-02	         -5.855295327e-02		
          1.800000000e+01	         -7.832713978e-02	         -1.088487610e-01		
          1.900000000e+01	         -1.175468520e-01	         -5.167119432e-02		
          2.000000000e+01	         -9.455022261e-02	         -1.134850914e-02		
          2.100000000e+01	         -6.222718472e-02	         -1.678388458e-03		
          2.200000000e+01	         -4.551588796e-02	          1.229888448e-03		
          2.300000000e+01	         -3.478297662e-02	          1.542022848e-03		
          2.400000000e+01	         -3.019097289e-02	         -3.684367790e-05		
          2.500000000e+01	         -2.515050219e-02	         -1.506229325e-03		
          2.600000000e+01	         -2.241896124e-02	         -1.147073376e-03		
          2.700000000e+01	         -2.281334327e-02	         -8.222545124e-04		
          2.800000000e+01	         -2.101999206e-02	         -1.287118349e-03		
          2.900000000e+01	         -1.760613529e-02	         -1.441161961e-03		
          3.000000000e+01	         -1.412643422e-02	         -1.726259216e-03		
          3.100000000e+01	         -1.380926839e-02	         -2.394628524e-03		
          3.200000000e+01	         -1.325255561e-02	         -3.271037099e-03		
          3.300000000e+01	         -1.208267470e-02	         -2.935670372e-03		
          3.400000000e+01	         -9.863167280e-03	         -1.744886712e-03		
          3.500000000e+01	         -8.865676941e-03	         -1.140884660e-03		
          3.600000000e+01	         -8.149800034e-03	         -7.723358067e-04		
          3.700000000e+01	         -6.008746069e-03	         -5.947454272e-04		
          3.800000000e+01	         -2.823183255e-03	         -1.388431666e-03		
          3.900000000e+01	          1.813033856e-04	         -2.405343057e-03		
          4.000000000e+01	          2.823648411e-03	         -3.025553853e-03		
          4.100000000e+01	          5.453111366e-03	         -8.453629250e-03		
          4.200000000e+01	          4.632521461e-03	         -1.395048575e-02		
          4.300000000e+01	          1.484176506e-03	         -1.604200302e-02		
          4.400000000e+01	         -1.257900159e-03	         -1.307863567e-02		
          4.500000000e+01	         -1.701815471e-03	         -9.955827639e-03		
          4.600000000e+01	          6.339812244e-04	         -6.794704771e-03		
          4.700000000e+01	          3.908727602e-03	         -6.294648657e-03		
          4.800000000e+01	          6.837521877e-03	         -4.454646271e-03		
          4.900000000e+01	          1.047951495e-02	         -3.301483232e-03		
          5.000000000e+01	          1.460183728e-02	         -5.726015049e-03		
          5.100000000e+01	          1.676669452e-02	         -5.391087076e-03		
          5.200000000e+01	          2.432734586e-02	         -5.080135224e-03		
          5.300000000e+01	          2.812125278e-02	         -6.666198752e-03		
          5.400000000e+01	          3.074337030e-02	         -9.867863281e-03		
          5.500000000e+01	          3.322108409e-02	         -1.127970411e-02		
          5.600000000e+01	          3.496099768e-02	         -1.124974193e-02		
          5.700000000e+01	          4.229665427e-02	         -8.391051864e-03		
          5.800000000e+01	          5.066691108e-02	         -5.122849764e-03		
          5.900000000e+01	          5.888098197e-02	         -5.529038280e-03		
          6.000000000e+01	          7.312563295e-02	         -4.009198168e-03		
