Resolution	1 Hz			
Span	1600 Hz			
Sample frequency	4096 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-2048 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	2049			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	11.24 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:2:+Z			
Reference point direction sign	+			
Reference point direction absolute	Z			
Reference point direction	+Z			
Reference point id node	2			
Reference point id component	Point			
Reference point id	Point:2			
Socket ID	2013192041:P2			
Module serial number	2013192041			
Module ID	M1			
Position ID	P2			
HW Range	0.316 V			
User Range	0.316 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:8:+Z			
Point direction sign	+			
Point direction absolute	Z			
Point direction	+Z			
Point id node	8			
Point id component	Point			
Point id	Point:8			
Overload	0			
Outer run slope	Time Tracking			
Original run	Run 7			
Original section	Random_excitation2			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	30			
Reference window type	Hanning			
Reference window correction mode	amplitude			
Window type	Hanning			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 20:56:06			
Created	Tue Feb 23 2021 20:56:06			
          0.000000000e+00	         -9.733348264e-02	          0.000000000e+00		
          1.000000000e+00	         -6.569124562e-02	          1.263916533e-01		
          2.000000000e+00	         -5.486277320e-02	          2.291987966e-02		
          3.000000000e+00	         -2.115359067e-02	         -1.222975883e-03		
          4.000000000e+00	          5.977305047e-03	          8.148611029e-03		
          5.000000000e+00	          7.705882443e-03	          2.193194885e-03		
          6.000000000e+00	         -2.162280938e-02	         -9.303621395e-03		
          7.000000000e+00	         -2.657486518e-02	          4.824703841e-03		
          8.000000000e+00	         -7.821549485e-03	         -1.092178654e-03		
          9.000000000e+00	         -3.674221952e-03	         -2.811730817e-03		
          1.000000000e+01	         -2.158533102e-02	          3.143577252e-03		
          1.100000000e+01	         -1.937984550e-02	          2.953947093e-02		
          1.200000000e+01	          2.250929829e-02	         -1.815462153e-02		
          1.300000000e+01	          3.723297480e-02	         -9.048102260e-03		
          1.400000000e+01	          4.798447566e-02	         -8.851073069e-03		
          1.500000000e+01	          5.887164619e-02	         -1.996624771e-02		
          1.600000000e+01	          7.795373894e-02	         -3.457881719e-02		
          1.700000000e+01	          8.437178432e-02	         -6.019236743e-02		
          1.800000000e+01	         -1.315758805e-01	         -1.526894172e-01		
          1.900000000e+01	         -1.361577553e-01	         -6.306285866e-02		
          2.000000000e+01	         -1.181157511e-01	         -1.821326190e-02		
          2.100000000e+01	         -7.670333996e-02	          9.790638907e-04		
          2.200000000e+01	         -5.649502749e-02	         -4.459268090e-05		
          2.300000000e+01	         -4.520258317e-02	         -1.103109241e-03		
          2.400000000e+01	         -4.032372907e-02	         -1.826816963e-03		
          2.500000000e+01	         -3.679090492e-02	         -2.302970273e-03		
          2.600000000e+01	         -3.519426152e-02	         -2.025612378e-03		
          2.700000000e+01	         -3.327040387e-02	         -2.229259163e-03		
          2.800000000e+01	         -2.961387455e-02	         -6.261226307e-04		
          2.900000000e+01	         -2.842469301e-02	          3.837273560e-04		
          3.000000000e+01	         -2.629316286e-02	         -1.102010361e-03		
          3.100000000e+01	         -2.400195044e-02	         -3.396428912e-03		
          3.200000000e+01	         -2.342841836e-02	         -3.021269635e-03		
          3.300000000e+01	         -2.402116295e-02	         -1.391082806e-03		
          3.400000000e+01	         -2.466017921e-02	         -1.691341968e-03		
          3.500000000e+01	         -2.309352914e-02	         -1.240047796e-03		
          3.600000000e+01	         -2.257393003e-02	         -7.556764253e-05		
          3.700000000e+01	         -2.246347030e-02	         -7.170935482e-04		
          3.800000000e+01	         -2.011248397e-02	          4.194127806e-04		
          3.900000000e+01	         -1.849888756e-02	         -1.262016568e-03		
          4.000000000e+01	         -1.680219906e-02	         -3.209629725e-03		
          4.100000000e+01	         -1.372122882e-02	         -3.451511386e-03		
          4.200000000e+01	         -1.376535953e-02	         -6.057683323e-03		
          4.300000000e+01	         -1.770651013e-02	         -6.672681680e-03		
          4.400000000e+01	         -2.035721392e-02	         -6.956972462e-03		
          4.500000000e+01	         -2.065132141e-02	         -4.720968639e-03		
          4.600000000e+01	         -1.925135848e-02	         -1.792050905e-03		
          4.700000000e+01	         -1.628462088e-02	          4.575445219e-04		
          4.800000000e+01	         -1.424101938e-02	         -2.081960117e-04		
          4.900000000e+01	         -1.314252134e-02	         -2.827844759e-05		
          5.000000000e+01	         -1.139267708e-02	          3.369412803e-04		
          5.100000000e+01	         -1.130117534e-02	          7.522594448e-06		
          5.200000000e+01	         -9.142138523e-03	         -1.022930588e-03		
          5.300000000e+01	         -6.889196882e-03	         -2.205786945e-03		
          5.400000000e+01	         -5.534245591e-03	         -3.226122330e-03		
          5.500000000e+01	         -4.276234319e-03	         -3.586257214e-03		
          5.600000000e+01	         -5.389609462e-04	         -1.733222114e-03		
          5.700000000e+01	          2.389708967e-03	         -2.542921035e-03		
          5.800000000e+01	          5.051520084e-03	         -2.207938741e-03		
          5.900000000e+01	          8.988255408e-03	         -1.431190081e-03		
