Resolution	1 Hz			
Span	1600 Hz			
Sample frequency	4096 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-2048 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	2049			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	11.24 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:2:+Z			
Reference point direction sign	+			
Reference point direction absolute	Z			
Reference point direction	+Z			
Reference point id node	2			
Reference point id component	Point			
Reference point id	Point:2			
Socket ID	2013192041:P2			
Module serial number	2013192041			
Module ID	M1			
Position ID	P2			
HW Range	0.316 V			
User Range	0.316 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:28:+Z			
Point direction sign	+			
Point direction absolute	Z			
Point direction	+Z			
Point id node	28			
Point id component	Point			
Point id	Point:28			
Overload	0			
Outer run slope	Time Tracking			
Original run	Run 25			
Original section	Random_excitation2			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	30			
Reference window type	Hanning			
Reference window correction mode	amplitude			
Window type	Hanning			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 21:13:57			
Created	Tue Feb 23 2021 21:13:57			
          0.000000000e+00	          1.130416206e-01	          0.000000000e+00		
          1.000000000e+00	         -4.446450947e-02	          2.132067592e-02		
          2.000000000e+00	          2.375810331e-02	         -3.260665478e-02		
          3.000000000e+00	          1.302906972e-02	         -2.432780627e-02		
          4.000000000e+00	         -1.116555808e-02	         -2.319187241e-02		
          5.000000000e+00	         -1.791347302e-02	         -2.742212983e-02		
          6.000000000e+00	         -5.858667771e-03	         -2.719650297e-02		
          7.000000000e+00	          5.491758216e-03	         -1.519075881e-02		
          8.000000000e+00	          1.188386390e-02	          2.694634880e-03		
          9.000000000e+00	          1.206152940e-02	         -1.111256947e-02		
          1.000000000e+01	          1.739868768e-03	          7.085508112e-03		
          1.100000000e+01	          1.800528095e-02	          1.360093644e-02		
          1.200000000e+01	          1.950292009e-02	         -9.503551303e-03		
          1.300000000e+01	          2.580213179e-02	         -3.808900922e-03		
          1.400000000e+01	          4.339910604e-02	         -1.423129157e-02		
          1.500000000e+01	          5.931444543e-02	         -2.871264045e-02		
          1.600000000e+01	          8.447210141e-02	         -3.801540561e-02		
          1.700000000e+01	          8.389057223e-02	         -9.364265830e-02		
          1.800000000e+01	         -1.194971306e-01	         -1.173799141e-01		
          1.900000000e+01	         -1.434450372e-01	         -6.162485668e-02		
          2.000000000e+01	         -1.003589077e-01	         -1.666385810e-02		
          2.100000000e+01	         -7.284625850e-02	          3.935588105e-03		
          2.200000000e+01	         -5.463625288e-02	          1.183701576e-03		
          2.300000000e+01	         -4.920453639e-02	         -3.105698650e-04		
          2.400000000e+01	         -4.372799478e-02	         -1.649867573e-04		
          2.500000000e+01	         -4.008333879e-02	         -5.212227823e-04		
          2.600000000e+01	         -3.908354718e-02	         -1.426479740e-03		
          2.700000000e+01	         -3.899238352e-02	         -3.507751478e-04		
          2.800000000e+01	         -3.943096464e-02	          4.491216256e-04		
          2.900000000e+01	         -3.716030644e-02	         -9.079274623e-06		
          3.000000000e+01	         -3.678710922e-02	         -8.244853219e-04		
          3.100000000e+01	         -3.483576389e-02	         -1.106950241e-03		
          3.200000000e+01	         -3.447405101e-02	         -3.263147118e-03		
          3.300000000e+01	         -3.699817931e-02	         -2.742162802e-03		
          3.400000000e+01	         -3.562479539e-02	         -2.427238229e-03		
          3.500000000e+01	         -3.585764290e-02	         -2.424935671e-04		
          3.600000000e+01	         -3.800637373e-02	          2.217931513e-03		
          3.700000000e+01	         -3.857501152e-02	          1.150243708e-03		
          3.800000000e+01	         -3.916894891e-02	          1.664104891e-04		
          3.900000000e+01	         -3.975809077e-02	          8.630175451e-04		
          4.000000000e+01	         -4.016783490e-02	          2.088413320e-03		
          4.100000000e+01	         -4.279186699e-02	          1.908540373e-03		
          4.200000000e+01	         -4.504692605e-02	          2.088847896e-03		
          4.300000000e+01	         -4.554222386e-02	          5.568134141e-03		
          4.400000000e+01	         -4.273656039e-02	          8.659597634e-03		
          4.500000000e+01	         -4.376564484e-02	          7.157883205e-03		
          4.600000000e+01	         -4.671828608e-02	          1.002576318e-02		
          4.700000000e+01	         -4.282319595e-02	          1.011244205e-02		
          4.800000000e+01	         -4.406262417e-02	          6.713999043e-03		
          4.900000000e+01	         -4.666935832e-02	          4.320719071e-03		
          5.000000000e+01	         -4.989380389e-02	          3.815770561e-03		
          5.100000000e+01	         -5.643206567e-02	          3.120919294e-03		
          5.200000000e+01	         -5.930792376e-02	          4.760804114e-03		
          5.300000000e+01	         -6.110830112e-02	          1.017219925e-02		
          5.400000000e+01	         -6.152433901e-02	          1.281169372e-02		
          5.500000000e+01	         -6.279088718e-02	          1.445459360e-02		
          5.600000000e+01	         -6.333477543e-02	          1.050094971e-02		
          5.700000000e+01	         -6.734833455e-02	          6.906569275e-03		
          5.800000000e+01	         -7.370902808e-02	          6.058659599e-03		
          5.900000000e+01	         -8.114831427e-02	          6.110977731e-03		
          6.000000000e+01	         -9.028955097e-02	          5.856456905e-03		
