Resolution	1 Hz			
Span	1600 Hz			
Sample frequency	4096 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-2048 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	2049			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	11.24 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:2:+Z			
Reference point direction sign	+			
Reference point direction absolute	Z			
Reference point direction	+Z			
Reference point id node	2			
Reference point id component	Point			
Reference point id	Point:2			
Socket ID	2013192041:P2			
Module serial number	2013192041			
Module ID	M1			
Position ID	P2			
HW Range	0.316 V			
User Range	0.316 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:7:+Z			
Point direction sign	+			
Point direction absolute	Z			
Point direction	+Z			
Point id node	7			
Point id component	Point			
Point id	Point:7			
Overload	0			
Outer run slope	Time Tracking			
Original run	Run 6			
Original section	Random_excitation2			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average type	Linear average			
Number of averages	30			
Reference window type	Hanning			
Reference window correction mode	amplitude			
Window type	Hanning			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 20:55:31			
Created	Tue Feb 23 2021 20:55:31			
          0.000000000e+00	          3.406053549e-02	          0.000000000e+00		
          1.000000000e+00	          5.597330565e-02	         -1.720342794e-02		
          2.000000000e+00	          3.911979930e-02	         -4.749763839e-03		
          3.000000000e+00	         -4.857161026e-03	         -3.268305426e-03		
          4.000000000e+00	         -1.434882911e-02	         -1.552708852e-02		
          5.000000000e+00	          3.851310423e-03	         -1.094331058e-02		
          6.000000000e+00	          1.008348882e-02	         -3.366984127e-03		
          7.000000000e+00	          6.410808015e-03	         -6.188204194e-03		
          8.000000000e+00	          8.362141942e-03	         -3.970537643e-03		
          9.000000000e+00	         -6.206251907e-04	         -1.089149046e-02		
          1.000000000e+01	         -1.955139655e-02	          6.671798093e-03		
          1.100000000e+01	          6.609980455e-03	          2.087698321e-02		
          1.200000000e+01	          4.499152676e-03	         -7.581515530e-03		
          1.300000000e+01	          2.810520387e-02	         -8.121846634e-03		
          1.400000000e+01	          3.982116807e-02	         -1.446087976e-02		
          1.500000000e+01	          5.181903516e-02	         -2.161844539e-02		
          1.600000000e+01	          7.875168684e-02	         -3.138794032e-02		
          1.700000000e+01	          1.172264451e-01	         -7.920197416e-02		
          1.800000000e+01	         -1.084990704e-01	         -1.362970991e-01		
          1.900000000e+01	         -1.311599885e-01	         -7.160914599e-02		
          2.000000000e+01	         -1.063189467e-01	         -1.438825850e-02		
          2.100000000e+01	         -7.252574826e-02	         -1.573769669e-03		
          2.200000000e+01	         -5.384911163e-02	          1.313596913e-04		
          2.300000000e+01	         -4.259780917e-02	          1.970573400e-03		
          2.400000000e+01	         -3.673061741e-02	          9.518320610e-04		
          2.500000000e+01	         -3.092415077e-02	          4.125280412e-04		
          2.600000000e+01	         -2.926580066e-02	         -2.714606370e-04		
          2.700000000e+01	         -2.736565018e-02	         -8.161303755e-04		
          2.800000000e+01	         -2.599870285e-02	         -3.010104334e-04		
          2.900000000e+01	         -2.337629207e-02	         -7.301657211e-04		
          3.000000000e+01	         -2.131093899e-02	         -6.037727503e-04		
          3.100000000e+01	         -2.069509504e-02	         -1.988280651e-03		
          3.200000000e+01	         -2.049418429e-02	         -3.971051232e-03		
          3.300000000e+01	         -1.979465260e-02	         -2.922002699e-03		
          3.400000000e+01	         -1.777538430e-02	         -2.928546597e-03		
          3.500000000e+01	         -1.588387216e-02	         -2.159773010e-03		
          3.600000000e+01	         -1.395904963e-02	         -9.953061587e-04		
          3.700000000e+01	         -1.346225511e-02	         -1.383954187e-03		
          3.800000000e+01	         -1.246412583e-02	         -2.097283185e-03		
          3.900000000e+01	         -9.082772591e-03	         -1.564919272e-03		
          4.000000000e+01	         -5.705407650e-03	         -1.913828028e-03		
          4.100000000e+01	         -3.993667404e-03	         -3.311783132e-03		
          4.200000000e+01	         -5.857090915e-03	         -9.563515156e-03		
          4.300000000e+01	         -9.533459534e-03	         -1.164069750e-02		
          4.400000000e+01	         -1.082562337e-02	         -9.585332074e-03		
          4.500000000e+01	         -1.103903804e-02	         -8.942809575e-03		
          4.600000000e+01	         -1.039389973e-02	         -6.031627013e-03		
          4.700000000e+01	         -6.870331585e-03	         -2.433791243e-03		
          4.800000000e+01	         -3.013135776e-03	         -2.133228752e-03		
          4.900000000e+01	         -4.492370122e-04	         -2.942153490e-03		
          5.000000000e+01	          1.765496200e-03	         -3.386127112e-03		
          5.100000000e+01	          2.646814075e-03	         -4.402847807e-03		
          5.200000000e+01	          7.690717118e-03	         -4.122258135e-03		
          5.300000000e+01	          1.207221753e-02	         -4.798240306e-03		
          5.400000000e+01	          1.492897708e-02	         -6.932911250e-03		
          5.500000000e+01	          1.582670570e-02	         -7.310216434e-03		
          5.600000000e+01	          1.948181885e-02	         -7.688946905e-03		
          5.700000000e+01	          2.471255166e-02	         -5.708809800e-03		
          5.800000000e+01	          2.877552022e-02	         -3.433109155e-03		
          5.900000000e+01	          3.638232471e-02	         -1.905376973e-03		
