Resolution	1 Hz			
Span	800 Hz			
Sample frequency	2048 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-1024 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	22.7 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:30:-Z			
Reference point direction sign	-			
Reference point direction absolute	Z			
Reference point direction	-Z			
Reference point id node	30			
Reference point id component	Point			
Reference point id	Point:30			
Module ID	M1			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	Point			
Point id	Point:3			
Overload	0			
Original run	Run 33			
Original section	Hammer_modal_analysis			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Martelo\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	3			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	5 %			
Reference window correction mode	amplitude			
Lower Limit EU	-325.195 g			
Upper Limit EU	325.195 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 22:55:51			
Created	Tue Feb 23 2021 22:55:51			
          0.000000000e+00	         -8.028542312e-02	          0.000000000e+00		
          1.000000000e+00	          6.007515354e-02	          2.407865306e-02		
          2.000000000e+00	          3.817597679e-02	         -4.371493927e-02		
          3.000000000e+00	          5.473997212e-03	         -3.751492024e-02		
          4.000000000e+00	         -2.207798643e-02	         -3.139979239e-02		
          5.000000000e+00	         -1.560621777e-02	         -1.291803410e-02		
          6.000000000e+00	         -2.244808693e-02	         -2.370662888e-02		
          7.000000000e+00	         -2.177914876e-02	         -2.281638986e-02		
          8.000000000e+00	         -2.881783209e-02	         -9.733876441e-03		
          9.000000000e+00	         -3.699630425e-02	         -1.074547985e-02		
          1.000000000e+01	         -3.120087522e-02	         -8.767209830e-03		
          1.100000000e+01	         -3.579314031e-02	         -5.226046306e-03		
          1.200000000e+01	         -5.093451856e-02	         -2.082232202e-03		
          1.300000000e+01	         -6.591269082e-02	         -4.529458255e-03		
          1.400000000e+01	         -9.793664945e-02	          1.805544405e-02		
          1.500000000e+01	         -1.226441397e-01	          2.302676402e-02		
          1.600000000e+01	         -2.629990577e-01	          5.991849355e-02		
          1.700000000e+01	         -7.331987311e-02	          7.786818648e-01		
          1.800000000e+01	          1.843745709e-01	          5.698638373e-02		
          1.900000000e+01	          2.336355231e-01	          6.769837162e-02		
          2.000000000e+01	          1.441107464e-01	         -1.624047901e-04		
          2.100000000e+01	          1.133417878e-01	         -5.253639585e-03		
          2.200000000e+01	          9.344875243e-02	         -8.391910379e-03		
          2.300000000e+01	          8.314149738e-02	         -1.176019823e-02		
          2.400000000e+01	          7.708881776e-02	         -1.347376833e-02		
          2.500000000e+01	          6.813112396e-02	         -1.229042165e-02		
          2.600000000e+01	          6.631623846e-02	         -1.025060370e-02		
          2.700000000e+01	          6.292102286e-02	         -1.083553200e-02		
          2.800000000e+01	          6.355867006e-02	         -6.991685338e-03		
          2.900000000e+01	          6.605652627e-02	         -1.010739808e-02		
          3.000000000e+01	          6.345870549e-02	         -1.563400935e-02		
          3.100000000e+01	          5.923802696e-02	         -1.643924019e-02		
          3.200000000e+01	          6.036439864e-02	         -1.499948927e-02		
          3.300000000e+01	          6.614165449e-02	         -1.356151008e-02		
          3.400000000e+01	          6.236787785e-02	         -1.906381018e-02		
          3.500000000e+01	          6.904163002e-02	         -2.113869201e-02		
          3.600000000e+01	          6.575705801e-02	         -1.364538320e-02		
          3.700000000e+01	          7.181806447e-02	         -1.915426879e-02		
          3.800000000e+01	          7.462205042e-02	         -1.773408442e-02		
          3.900000000e+01	          7.849470368e-02	         -2.040508411e-02		
          4.000000000e+01	          8.220484992e-02	         -2.091781662e-02		
          4.100000000e+01	          8.904103008e-02	         -2.582116803e-02		
          4.200000000e+01	          9.400286992e-02	         -4.359734247e-02		
          4.300000000e+01	          7.758832457e-02	         -4.535156971e-02		
          4.400000000e+01	          7.278942936e-02	         -3.861388629e-02		
          4.500000000e+01	          7.539259878e-02	         -3.096629246e-02		
          4.600000000e+01	          8.411218762e-02	         -2.829373680e-02		
          4.700000000e+01	          9.518318976e-02	         -2.455172825e-02		
          4.800000000e+01	          1.028588365e-01	         -2.574344279e-02		
          4.900000000e+01	          1.112674697e-01	         -2.738074789e-02		
          5.000000000e+01	          1.229205906e-01	         -2.908179279e-02		
          5.100000000e+01	          1.219555043e-01	         -2.601186168e-02		
          5.200000000e+01	          1.775734060e-01	         -4.048023407e-02		
          5.300000000e+01	          1.334790791e-01	         -5.947245474e-02		
          5.400000000e+01	          1.478762023e-01	         -4.584539666e-02		
          5.500000000e+01	          1.627736772e-01	         -4.109085248e-02		
          5.600000000e+01	          1.800499893e-01	         -4.310258256e-02		
          5.700000000e+01	          2.017749832e-01	         -4.295661070e-02		
          5.800000000e+01	          2.268313922e-01	         -4.629336218e-02		
          5.900000000e+01	          2.597528803e-01	         -4.987713502e-02		
          6.000000000e+01	          2.921465565e-01	         -5.664184723e-02		
          6.100000000e+01	          3.395484728e-01	         -6.720606114e-02		
          6.200000000e+01	          3.961654854e-01	         -7.783544925e-02		
          6.300000000e+01	          4.757311113e-01	         -9.396573345e-02		
          6.400000000e+01	          5.895272283e-01	         -1.171821487e-01		
          6.500000000e+01	          7.618241191e-01	         -1.590743862e-01		
          6.600000000e+01	          1.060573188e+00	         -2.727285459e-01		
          6.700000000e+01	          1.663093100e+00	         -5.057008152e-01		
          6.800000000e+01	          3.068596449e+00	         -2.022650971e+00		
          6.900000000e+01	         -1.135922469e+00	         -8.222593931e+00		
          7.000000000e+01	         -2.345276299e+00	          7.298790709e-01		
          7.100000000e+01	         -1.337371794e+00	          2.215813283e-01		
          7.200000000e+01	         -9.379210616e-01	          1.231947684e-01		
          7.300000000e+01	         -7.364960000e-01	          7.738376400e-02		
          7.400000000e+01	         -6.134702968e-01	          5.198845284e-02		
          7.500000000e+01	         -5.280689083e-01	          3.876519158e-02		
          7.600000000e+01	         -4.690398363e-01	          2.957133171e-02		
          7.700000000e+01	         -4.218342389e-01	          2.396889838e-02		
          7.800000000e+01	         -3.881420626e-01	          1.668789196e-02		
