Resolution	1 Hz			
Span	800 Hz			
Sample frequency	2048 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-1024 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	22.7 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:6:-Z			
Reference point direction sign	-			
Reference point direction absolute	Z			
Reference point direction	-Z			
Reference point id node	6			
Reference point id component	Point			
Reference point id	Point:6			
Module ID	M1			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	Point			
Point id	Point:3			
Overload	0			
Original run	Run 11			
Original section	Hammer_modal_analysis			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Martelo\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	3			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	5 %			
Reference window correction mode	amplitude			
Lower Limit EU	-325.195 g			
Upper Limit EU	325.195 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 22:26:55			
Created	Tue Feb 23 2021 22:26:55			
          0.000000000e+00	          3.897822790e-02	          0.000000000e+00		
          1.000000000e+00	          1.314204877e-02	         -3.052672670e-03		
          2.000000000e+00	          2.061807940e-02	          1.866660036e-02		
          3.000000000e+00	         -4.830645449e-03	         -6.463081701e-03		
          4.000000000e+00	          8.650371447e-04	          4.859591839e-03		
          5.000000000e+00	         -1.387051470e-02	          9.126243080e-03		
          6.000000000e+00	         -3.870026354e-02	         -1.260013512e-02		
          7.000000000e+00	         -3.317380042e-02	         -1.409957714e-02		
          8.000000000e+00	         -5.852257551e-02	         -1.186796390e-02		
          9.000000000e+00	         -4.629303093e-02	          8.599908809e-03		
          1.000000000e+01	         -5.350138418e-02	         -3.124886887e-03		
          1.100000000e+01	         -6.698899816e-02	         -3.001550572e-03		
          1.200000000e+01	         -7.911874835e-02	         -9.361049210e-03		
          1.300000000e+01	         -1.013820996e-01	         -3.714597608e-03		
          1.400000000e+01	         -1.391756436e-01	          1.058862081e-02		
          1.500000000e+01	         -1.652504793e-01	          2.934811781e-02		
          1.600000000e+01	         -3.104642093e-01	          1.066680417e-01		
          1.700000000e+01	         -2.581557568e-01	          6.185849918e-01		
          1.800000000e+01	          3.585761798e-01	          9.260194363e-02		
          1.900000000e+01	          2.794997099e-01	          1.748538858e-01		
          2.000000000e+01	          1.678511871e-01	          2.896239386e-02		
          2.100000000e+01	          1.224744181e-01	          1.553054993e-02		
          2.200000000e+01	          9.555381297e-02	          5.697896783e-03		
          2.300000000e+01	          8.386602326e-02	          1.411862003e-03		
          2.400000000e+01	          6.777596315e-02	         -4.397773071e-03		
          2.500000000e+01	          5.280360143e-02	         -3.420445299e-03		
          2.600000000e+01	          4.951873768e-02	         -7.818993693e-03		
          2.700000000e+01	          3.890032336e-02	         -7.187489057e-03		
          2.800000000e+01	          3.129721124e-02	         -9.344580917e-03		
          2.900000000e+01	          2.471629874e-02	         -8.307207619e-03		
          3.000000000e+01	          2.123123385e-02	         -6.831854158e-03		
          3.100000000e+01	          1.187153167e-02	         -6.144859823e-03		
          3.200000000e+01	          1.532550008e-02	         -1.902461821e-03		
          3.300000000e+01	          1.059951027e-02	         -9.179255241e-03		
          3.400000000e+01	          5.285313850e-03	         -6.598694401e-03		
          3.500000000e+01	         -1.364575301e-03	         -3.510431726e-03		
          3.600000000e+01	          1.048629627e-03	         -8.217175227e-03		
          3.700000000e+01	         -7.025785668e-04	         -8.771370208e-03		
          3.800000000e+01	         -1.131657011e-02	         -5.472788454e-03		
          3.900000000e+01	         -1.454327440e-02	         -4.583918116e-03		
          4.000000000e+01	         -2.198142097e-02	         -5.527731514e-03		
          4.100000000e+01	         -2.802722032e-02	         -2.330342846e-03		
          4.200000000e+01	         -3.198049497e-02	          5.206113183e-03		
          4.300000000e+01	         -1.961665281e-02	          9.858935484e-03		
          4.400000000e+01	         -1.932682575e-02	         -2.942614087e-03		
          4.500000000e+01	         -2.970392289e-02	         -6.161604284e-03		
          4.600000000e+01	         -3.631720825e-02	         -7.025908937e-03		
          4.700000000e+01	         -4.398524538e-02	         -9.544087646e-03		
          4.800000000e+01	         -5.382759557e-02	         -1.375296197e-02		
          4.900000000e+01	         -6.272610805e-02	         -1.524204939e-02		
          5.000000000e+01	         -7.726429518e-02	         -1.300040596e-02		
          5.100000000e+01	         -8.894699154e-02	         -1.410521295e-02		
          5.200000000e+01	         -1.119077001e-01	         -9.287881700e-03		
          5.300000000e+01	         -1.023523461e-01	          1.005820137e-02		
          5.400000000e+01	         -1.044445213e-01	         -2.066084523e-03		
          5.500000000e+01	         -1.203750344e-01	         -1.078975796e-02		
          5.600000000e+01	         -1.353400235e-01	         -1.488473545e-02		
          5.700000000e+01	         -1.577845290e-01	         -1.847306069e-02		
          5.800000000e+01	         -1.859271550e-01	         -2.291208465e-02		
          5.900000000e+01	         -2.167461232e-01	         -1.681771311e-02		
          6.000000000e+01	         -2.520761456e-01	         -1.774978232e-02		
          6.100000000e+01	         -2.946276861e-01	         -1.645823996e-02		
          6.200000000e+01	         -3.491110595e-01	         -1.610523683e-02		
          6.300000000e+01	         -4.311612187e-01	         -1.109941216e-02		
          6.400000000e+01	         -5.355527036e-01	          5.281695931e-03		
          6.500000000e+01	         -6.864693436e-01	          3.842844098e-02		
          6.600000000e+01	         -9.182565037e-01	          1.144575230e-01		
          6.700000000e+01	         -1.333994575e+00	          3.568900502e-01		
          6.800000000e+01	         -1.895333288e+00	          1.127702411e+00		
          6.900000000e+01	         -1.837494820e+00	          3.564241607e+00		
          7.000000000e+01	          5.267941853e+00	          1.922522583e+00		
          7.100000000e+01	          1.575659429e+00	          4.573284397e-01		
          7.200000000e+01	          1.052861444e+00	          2.833581589e-01		
          7.300000000e+01	          8.103075029e-01	          1.856409671e-01		
          7.400000000e+01	          6.739936772e-01	          1.482708457e-01		
          7.500000000e+01	          5.807603953e-01	          1.137658973e-01		
          7.600000000e+01	          5.121494086e-01	          9.651046306e-02		
          7.700000000e+01	          4.592625023e-01	          7.974620277e-02		
          7.800000000e+01	          4.160045787e-01	          7.637771814e-02		
