Resolution	1 Hz			
Span	800 Hz			
Sample frequency	2048 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-1024 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	22.7 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:24:-Z			
Reference point direction sign	-			
Reference point direction absolute	Z			
Reference point direction	-Z			
Reference point id node	24			
Reference point id component	Point			
Reference point id	Point:24			
Module ID	M1			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	Point			
Point id	Point:3			
Overload	0			
Original run	Run 27			
Original section	Hammer_modal_analysis			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Martelo\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	3			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	5 %			
Reference window correction mode	amplitude			
Lower Limit EU	-325.195 g			
Upper Limit EU	325.195 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 22:45:54			
Created	Tue Feb 23 2021 22:45:54			
          0.000000000e+00	         -6.726615415e-02	          0.000000000e+00		
          1.000000000e+00	          7.110720798e-02	         -2.483086149e-03		
          2.000000000e+00	         -8.373645283e-03	          2.680084760e-02		
          3.000000000e+00	          2.960446583e-02	         -2.467457567e-03		
          4.000000000e+00	         -2.074981359e-03	         -6.165562950e-03		
          5.000000000e+00	         -7.065807092e-03	         -1.714131248e-02		
          6.000000000e+00	          1.106304531e-02	         -9.156111804e-03		
          7.000000000e+00	          8.450532518e-03	          4.012684651e-03		
          8.000000000e+00	         -7.238053311e-03	          3.367927354e-03		
          9.000000000e+00	         -1.338719507e-02	          7.743056902e-04		
          1.000000000e+01	         -3.365434090e-02	         -1.775923739e-04		
          1.100000000e+01	         -3.009305355e-02	          6.300727779e-03		
          1.200000000e+01	         -4.878134472e-02	          7.593087248e-03		
          1.300000000e+01	         -7.198744568e-02	          5.175741885e-03		
          1.400000000e+01	         -1.145199439e-01	          3.138690099e-02		
          1.500000000e+01	         -1.557789407e-01	          2.846130981e-02		
          1.600000000e+01	         -3.515969300e-01	          1.439903173e-01		
          1.700000000e+01	         -4.553265408e-02	          8.935231030e-01		
          1.800000000e+01	          2.392695452e-01	          7.517797307e-02		
          1.900000000e+01	          3.216420806e-01	          1.447222157e-01		
          2.000000000e+01	          1.988729047e-01	          3.002321146e-02		
          2.100000000e+01	          1.585844158e-01	          2.350406493e-02		
          2.200000000e+01	          1.320849115e-01	          1.706751362e-02		
          2.300000000e+01	          1.227979248e-01	          1.198519830e-02		
          2.400000000e+01	          1.096463989e-01	          8.618905543e-03		
          2.500000000e+01	          9.421555068e-02	          6.138468445e-03		
          2.600000000e+01	          8.996299314e-02	          3.853954345e-03		
          2.700000000e+01	          8.178205940e-02	          2.054232457e-03		
          2.800000000e+01	          7.840433016e-02	          5.609525960e-03		
          2.900000000e+01	          7.538500130e-02	          5.091304656e-03		
          3.000000000e+01	          6.758328503e-02	          7.921844549e-03		
          3.100000000e+01	          6.654443630e-02	          7.555607371e-03		
          3.200000000e+01	          6.500755163e-02	          5.598026418e-03		
          3.300000000e+01	          5.807577088e-02	          6.039915102e-03		
          3.400000000e+01	          5.118417776e-02	          9.020273459e-03		
          3.500000000e+01	          5.256143638e-02	          1.238212017e-02		
          3.600000000e+01	          5.371672102e-02	          1.689049239e-02		
          3.700000000e+01	          4.965237428e-02	          1.046983044e-02		
          3.800000000e+01	          4.751548335e-02	          1.170618093e-02		
          3.900000000e+01	          4.028220733e-02	          1.277041511e-02		
          4.000000000e+01	          3.534470678e-02	          1.548613660e-02		
          4.100000000e+01	          3.427624004e-02	          1.939492194e-02		
          4.200000000e+01	          3.395452940e-02	          2.922579538e-02		
          4.300000000e+01	          4.146742299e-02	          2.747826608e-02		
          4.400000000e+01	          4.368907746e-02	          1.919717631e-02		
          4.500000000e+01	          3.764786395e-02	          1.427481752e-02		
          4.600000000e+01	          3.405915275e-02	          1.313811176e-02		
          4.700000000e+01	          2.853407541e-02	          1.271003719e-02		
          4.800000000e+01	          2.256769554e-02	          1.079104801e-02		
          4.900000000e+01	          2.032864285e-02	          8.932173866e-03		
          5.000000000e+01	          1.032694240e-02	          9.723840173e-03		
          5.100000000e+01	          4.225652971e-03	          6.349273383e-03		
          5.200000000e+01	         -2.941678686e-02	          1.603473224e-02		
          5.300000000e+01	         -1.275166301e-02	          3.347843497e-02		
          5.400000000e+01	         -1.534633389e-02	          2.212403626e-02		
          5.500000000e+01	         -2.706277825e-02	          1.900571379e-02		
          5.600000000e+01	         -4.210308877e-02	          2.163295353e-02		
          5.700000000e+01	         -5.278901427e-02	          2.300848601e-02		
          5.800000000e+01	         -7.089315360e-02	          2.447813908e-02		
          5.900000000e+01	         -8.946506660e-02	          2.374334445e-02		
          6.000000000e+01	         -1.127595779e-01	          2.960095884e-02		
          6.100000000e+01	         -1.420094299e-01	          2.764196741e-02		
          6.200000000e+01	         -1.866964087e-01	          3.015492437e-02		
          6.300000000e+01	         -2.434962714e-01	          3.454519076e-02		
          6.400000000e+01	         -3.271405881e-01	          4.933230165e-02		
          6.500000000e+01	         -4.524129567e-01	          8.221792974e-02		
          6.600000000e+01	         -6.637837367e-01	          1.501933236e-01		
          6.700000000e+01	         -1.071219576e+00	          3.969967832e-01		
          6.800000000e+01	         -1.584761329e+00	          1.262898617e+00		
          6.900000000e+01	          9.120311425e-02	          4.354080946e+00		
          7.000000000e+01	          2.068003999e+00	          1.181086156e-01		
          7.100000000e+01	          1.051001484e+00	         -8.419211308e-02		
          7.200000000e+01	          7.634409110e-01	          2.470086826e-02		
          7.300000000e+01	          6.395423609e-01	          2.424623823e-02		
          7.400000000e+01	          5.521310566e-01	          1.418350800e-02		
          7.500000000e+01	          4.853797866e-01	          1.115943831e-02		
          7.600000000e+01	          4.430570942e-01	          6.119533251e-03		
          7.700000000e+01	          4.012814446e-01	          2.654656002e-03		
          7.800000000e+01	          3.723609949e-01	          1.862621407e-03		
          7.900000000e+01	          3.530773320e-01	          1.100590848e-02		
          8.000000000e+01	          3.399568160e-01	          6.443114010e-03		
