Resolution	1 Hz			
Span	800 Hz			
Sample frequency	2048 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-1024 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	22.7 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:29:-Z			
Reference point direction sign	-			
Reference point direction absolute	Z			
Reference point direction	-Z			
Reference point id node	29			
Reference point id component	Point			
Reference point id	Point:29			
Module ID	M1			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	Point			
Point id	Point:3			
Overload	0			
Original run	Run 32			
Original section	Hammer_modal_analysis			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Martelo\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	3			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	5 %			
Reference window correction mode	amplitude			
Lower Limit EU	-325.195 g			
Upper Limit EU	325.195 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 22:55:07			
Created	Tue Feb 23 2021 22:55:07			
          0.000000000e+00	          1.523082032e-02	          0.000000000e+00		
          1.000000000e+00	          3.426274996e-02	         -1.175060414e-02		
          2.000000000e+00	          1.060121572e-03	         -6.672199240e-02		
          3.000000000e+00	          1.766366339e-02	         -2.380151530e-02		
          4.000000000e+00	         -7.435171962e-04	         -3.470971566e-02		
          5.000000000e+00	         -1.579026819e-02	         -3.796116874e-02		
          6.000000000e+00	         -2.219643263e-02	         -7.659208858e-03		
          7.000000000e+00	         -2.710228513e-02	         -1.779832565e-02		
          8.000000000e+00	         -2.820018146e-02	         -5.722943009e-03		
          9.000000000e+00	         -2.500242279e-02	          6.457255955e-03		
          1.000000000e+01	         -3.251843895e-02	          5.073943755e-04		
          1.100000000e+01	         -3.732520818e-02	         -5.592500392e-03		
          1.200000000e+01	         -4.719654731e-02	          4.070912861e-03		
          1.300000000e+01	         -6.844494842e-02	          6.256305706e-03		
          1.400000000e+01	         -1.022780124e-01	          2.350763574e-02		
          1.500000000e+01	         -1.343785110e-01	          2.852719514e-02		
          1.600000000e+01	         -3.181499151e-01	          8.678659098e-02		
          1.700000000e+01	         -5.469432800e-02	          8.447636816e-01		
          1.800000000e+01	          2.285131455e-01	          5.764863460e-02		
          1.900000000e+01	          2.929082736e-01	          1.156237663e-01		
          2.000000000e+01	          1.797053555e-01	          1.338132678e-02		
          2.100000000e+01	          1.415785861e-01	          3.378241690e-03		
          2.200000000e+01	          1.249552195e-01	         -1.176919593e-03		
          2.300000000e+01	          1.084693612e-01	         -1.293083224e-03		
          2.400000000e+01	          9.760747200e-02	         -5.625825209e-03		
          2.500000000e+01	          9.754274757e-02	         -1.020842858e-02		
          2.600000000e+01	          9.124369086e-02	         -2.096953265e-03		
          2.700000000e+01	          9.109637880e-02	         -3.302619814e-03		
          2.800000000e+01	          8.462836634e-02	         -5.700043071e-03		
          2.900000000e+01	          8.540088396e-02	         -8.757660560e-03		
          3.000000000e+01	          8.846390136e-02	         -1.058049986e-02		
          3.100000000e+01	          8.518092786e-02	         -9.881404265e-03		
          3.200000000e+01	          8.540784325e-02	         -9.407543495e-03		
          3.300000000e+01	          8.202291768e-02	         -9.711452485e-03		
          3.400000000e+01	          7.706499814e-02	         -1.346889227e-02		
          3.500000000e+01	          8.809324169e-02	         -1.352603138e-02		
          3.600000000e+01	          8.513964621e-02	         -6.648721514e-03		
          3.700000000e+01	          9.206451021e-02	         -9.413353286e-03		
          3.800000000e+01	          9.323853326e-02	         -1.067893431e-02		
          3.900000000e+01	          9.840172449e-02	         -1.265593783e-02		
          4.000000000e+01	          1.030092787e-01	         -1.143988173e-02		
          4.100000000e+01	          1.077961031e-01	         -2.018066981e-02		
          4.200000000e+01	          1.113145984e-01	         -3.533185184e-02		
          4.300000000e+01	          9.789466274e-02	         -3.626879408e-02		
          4.400000000e+01	          9.778059117e-02	         -3.069772162e-02		
          4.500000000e+01	          1.030984549e-01	         -2.364721813e-02		
          4.600000000e+01	          1.071553136e-01	         -1.892661341e-02		
          4.700000000e+01	          1.152876538e-01	         -1.696590495e-02		
          4.800000000e+01	          1.238116228e-01	         -1.488566538e-02		
          4.900000000e+01	          1.300643714e-01	         -1.384077210e-02		
          5.000000000e+01	          1.448722690e-01	         -1.546169703e-02		
          5.100000000e+01	          1.504233145e-01	         -1.000014297e-02		
          5.200000000e+01	          1.956228131e-01	         -3.053559144e-02		
          5.300000000e+01	          1.617380133e-01	         -5.291871233e-02		
          5.400000000e+01	          1.728989757e-01	         -3.487083993e-02		
          5.500000000e+01	          1.870765865e-01	         -3.339447372e-02		
          5.600000000e+01	          2.053060478e-01	         -3.672584316e-02		
          5.700000000e+01	          2.260748535e-01	         -3.523486244e-02		
          5.800000000e+01	          2.478057310e-01	         -3.541837496e-02		
          5.900000000e+01	          2.822815780e-01	         -3.865492483e-02		
          6.000000000e+01	          3.170466641e-01	         -4.336008236e-02		
          6.100000000e+01	          3.613392548e-01	         -5.203039699e-02		
          6.200000000e+01	          4.165671081e-01	         -6.050174280e-02		
          6.300000000e+01	          4.938247783e-01	         -7.439408962e-02		
          6.400000000e+01	          6.056686960e-01	         -9.131955623e-02		
          6.500000000e+01	          7.773984381e-01	         -1.377933281e-01		
          6.600000000e+01	          1.054681240e+00	         -2.408488482e-01		
          6.700000000e+01	          1.627410384e+00	         -5.310857756e-01		
          6.800000000e+01	          2.517299729e+00	         -1.837204828e+00		
          6.900000000e+01	         -1.436910697e-03	         -6.241517914e+00		
          7.000000000e+01	         -2.881997726e+00	          4.621626723e-01		
          7.100000000e+01	         -1.366075916e+00	          1.177783502e-01		
          7.200000000e+01	         -9.712475622e-01	          4.732495076e-02		
          7.300000000e+01	         -7.315824619e-01	          3.209023294e-02		
          7.400000000e+01	         -6.029809636e-01	          1.850766265e-02		
          7.500000000e+01	         -5.085330577e-01	          1.610974821e-02		
          7.600000000e+01	         -4.417970070e-01	          1.185845414e-02		
          7.700000000e+01	         -4.003040321e-01	          6.222518202e-03		
          7.800000000e+01	         -3.617147282e-01	          7.463777416e-03		
