Resolution	1 Hz			
Span	800 Hz			
Sample frequency	2048 Hz			
Frequency resolution	1 Hz			
X axis increment	1 Hz			
X axis	0-1024 Hz			
X axis quantity	Frequency			
X axis unit	Hz			
Number of lines	1025			
Value type	Complex			
Y axis quantity	AccelerationOverForce			
Y axis unit	g/N			
Reference actual sensitivity	22.7 mV/N			
Reference transducer sn	21697			
Reference transducer id				
Reference user comment				
Reference user channel id				
Reference channel id	3			
Reference DOF id	Point:28:-Z			
Reference point direction sign	-			
Reference point direction absolute	Z			
Reference point direction	-Z			
Reference point id node	28			
Reference point id component	Point			
Reference point id	Point:28			
Module ID	M1			
Position ID	P2			
HW Range	3.16 V			
User Range	3.16 V			
PhysicalChannelId	Input2			
Channel group	Group 1			
Channelgroup	Vibration			
Measured quantity	Acceleration			
Polarity	+			
Offset EU	0 g			
Actual sensitivity	9.71723 mV/g			
Transducer sn	55876			
Transducer id				
Cylinder offset	0 °			
User channel ID 3				
User comment				
User channel id				
Channel id	4			
Channel name	C2			
Driving point	0			
DOF id	Point:3:-Z			
Point direction sign	-			
Point direction absolute	Z			
Point direction	-Z			
Point id node	3			
Point id component	Point			
Point id	Point:3			
Overload	0			
Original run	Run 31			
Original section	Hammer_modal_analysis			
Original project	Experimento_viga			
Original project dir	C:\Users\LVA_Sacadas01\Documents\Analise modal\Martelo\Experimento_viga.lms			
FRF scaling	GlobalScaling			
FRF estimation method	H1			
Average parameter	0.5			
Average type	Linear average			
Number of averages	3			
Reference number of windows	2			
Reference window type	Force*Exponential			
Reference window exponent	100 %			
Reference window width	5 %			
Reference window correction mode	amplitude			
Lower Limit EU	-325.195 g			
Upper Limit EU	325.195 g			
Window type	Exponential			
Window exponent	100 %			
Window correction mode	amplitude			
Function class	FRF			
Weighting	Linear			
Modified	Tue Feb 23 2021 22:54:18			
Created	Tue Feb 23 2021 22:54:18			
          0.000000000e+00	         -2.329144799e-02	          0.000000000e+00		
          1.000000000e+00	         -2.463165676e-02	          9.385115741e-03		
          2.000000000e+00	          1.208677734e-02	         -3.471698265e-03		
          3.000000000e+00	         -5.182447419e-03	         -2.924409770e-03		
          4.000000000e+00	         -6.154066067e-03	         -2.611230338e-02		
          5.000000000e+00	         -1.861262028e-02	          1.418825490e-02		
          6.000000000e+00	         -9.692904762e-03	         -8.549616545e-03		
          7.000000000e+00	         -6.589115501e-03	         -1.818301330e-02		
          8.000000000e+00	         -1.749009749e-02	         -1.306830006e-02		
          9.000000000e+00	         -2.549946043e-02	         -6.110752086e-03		
          1.000000000e+01	         -2.492951739e-02	         -2.862400818e-04		
          1.100000000e+01	         -3.558483570e-02	         -6.051848840e-03		
          1.200000000e+01	         -5.245476171e-02	          1.513665262e-02		
          1.300000000e+01	         -7.756085817e-02	          5.083499957e-04		
          1.400000000e+01	         -1.155370091e-01	          1.921337109e-02		
          1.500000000e+01	         -1.571952808e-01	          2.105563031e-02		
          1.600000000e+01	         -3.644516923e-01	          1.241724483e-01		
          1.700000000e+01	         -1.266770997e-01	          8.370773193e-01		
          1.800000000e+01	          2.953747674e-01	          6.774185351e-02		
          1.900000000e+01	          3.388502585e-01	          1.744499431e-01		
          2.000000000e+01	          2.200119204e-01	          2.597744207e-02		
          2.100000000e+01	          1.723022394e-01	          1.714466601e-02		
          2.200000000e+01	          1.432754007e-01	          1.487367504e-02		
          2.300000000e+01	          1.320794778e-01	          8.624466137e-03		
          2.400000000e+01	          1.169982898e-01	         -4.147612248e-04		
          2.500000000e+01	          1.127576816e-01	         -6.206356468e-03		
          2.600000000e+01	          1.014894975e-01	         -3.379229362e-03		
          2.700000000e+01	          1.017023241e-01	          2.496963892e-03		
          2.800000000e+01	          9.404289343e-02	          3.210748833e-03		
          2.900000000e+01	          9.136430842e-02	         -1.740133160e-03		
          3.000000000e+01	          9.221456343e-02	         -4.728644086e-04		
          3.100000000e+01	          9.212404404e-02	         -1.559495717e-03		
          3.200000000e+01	          9.127527813e-02	          1.466842671e-04		
          3.300000000e+01	          9.312796869e-02	         -9.003809914e-04		
          3.400000000e+01	          8.925155316e-02	         -5.844150511e-03		
          3.500000000e+01	          9.658643176e-02	         -1.646566232e-03		
          3.600000000e+01	          8.988579668e-02	          1.772012462e-04		
          3.700000000e+01	          9.698968765e-02	          1.501476818e-03		
          3.800000000e+01	          9.907814314e-02	         -2.384612294e-04		
          3.900000000e+01	          9.752740067e-02	          9.065533724e-04		
          4.000000000e+01	          1.042524206e-01	         -8.696608747e-04		
          4.100000000e+01	          1.096712092e-01	         -5.265663734e-03		
          4.200000000e+01	          1.090638851e-01	         -1.430760824e-02		
          4.300000000e+01	          1.036121538e-01	         -1.461799408e-02		
          4.400000000e+01	          1.019875456e-01	         -7.539012960e-03		
          4.500000000e+01	          1.033783581e-01	         -4.964124397e-03		
          4.600000000e+01	          1.093018746e-01	         -2.771570359e-03		
          4.700000000e+01	          1.152464451e-01	          6.240217857e-04		
          4.800000000e+01	          1.227628305e-01	         -1.719058896e-03		
          4.900000000e+01	          1.256117267e-01	          3.302641087e-03		
          5.000000000e+01	          1.382162220e-01	          6.803870368e-03		
          5.100000000e+01	          1.478742817e-01	          4.109239477e-03		
          5.200000000e+01	          1.761229806e-01	         -5.791355637e-03		
          5.300000000e+01	          1.607046713e-01	         -2.841593463e-02		
          5.400000000e+01	          1.610033190e-01	         -1.368398599e-02		
          5.500000000e+01	          1.736932829e-01	         -1.754491026e-02		
          5.600000000e+01	          1.869045067e-01	         -9.859388294e-03		
          5.700000000e+01	          1.985857565e-01	         -1.437100767e-02		
          5.800000000e+01	          2.205105580e-01	         -8.354213214e-03		
          5.900000000e+01	          2.465826221e-01	         -1.128599558e-02		
          6.000000000e+01	          2.713010223e-01	         -1.523708368e-02		
          6.100000000e+01	          3.008131271e-01	         -1.454140998e-02		
          6.200000000e+01	          3.467152648e-01	         -2.109928845e-02		
          6.300000000e+01	          4.123706260e-01	         -2.908724777e-02		
          6.400000000e+01	          4.993705724e-01	         -5.334739850e-02		
          6.500000000e+01	          6.127169673e-01	         -8.969947006e-02		
          6.600000000e+01	          8.270177238e-01	         -1.486239522e-01		
          6.700000000e+01	          1.221161842e+00	         -4.134038830e-01		
          6.800000000e+01	          1.671837031e+00	         -1.192407638e+00		
          6.900000000e+01	          5.717376549e-01	         -4.001969916e+00		
          7.000000000e+01	         -2.392479174e+00	         -3.726249738e-01		
          7.100000000e+01	         -1.112162420e+00	          2.812859194e-02		
          7.200000000e+01	         -7.289455414e-01	         -3.273014419e-02		
          7.300000000e+01	         -5.681778537e-01	         -1.206575967e-02		
          7.400000000e+01	         -4.457213899e-01	         -4.765418822e-03		
          7.500000000e+01	         -3.774691743e-01	          3.801700745e-04		
          7.600000000e+01	         -3.238212804e-01	          6.342149608e-03		
          7.700000000e+01	         -2.769513091e-01	          9.621075928e-03		
          7.800000000e+01	         -2.415107647e-01	          1.195977942e-02		
          7.900000000e+01	         -2.132980596e-01	          7.177499893e-03		
